Sample	ID	PIT	Group	Pop	Selection	Photoperiod	Sex	Weight_end	Length_end	Trial	Repeat	Arena	Beh_batch	Out_time_min	Activity	Explorated
F92	53	LA000000900226000790143	Hatchery HV	Hatchery	HV	12:12	-1	18	118	53_3	1	2	1	2.941166667	0.634896853	1
F94	58	LA000000900226000790174	Hatchery HV	Hatchery	HV	12:12	-1	22.3	130	58_3	1	1	5	0.266666667	0.078364796	1
F106	8	LA000000900226000789976	Hatchery HV	Hatchery	HV	12:12	NA	12.6	108	8_4	1	1	1	0.819	0.177806517	1
F107	27	LA000000900226000524085	Hatchery LV	Hatchery	LV	12:12	-1	15.1	115	27_3	1	1	5	9.75	NA	0
F57	69	LA000000900226000772253	Hatchery HV	Hatchery	HV	12:12	1	16	112	69_1	-1	4	2	9.75	NA	0
F58	39	LA000000900226000772374	Hatchery HV	Hatchery	HV	12:12	-1	13.5	112	39_1	-1	4	4	9.75	NA	0
F59	28	LA000000900226000772551	Hatchery LV	Hatchery	LV	12:12	-1	17.6	122	28_1	-1	3	4	5.808333333	0.001522197	0
F69	40	LA000000900226000772510	Hatchery HV	Hatchery	HV	12:12	1	22.9	130	40_1	-1	2	4	9.75	NA	0
F71	70	LA000000900226000772314	Hatchery LV	Hatchery	LV	12:12	-1	14.3	110	70_1	-1	1	3	0.323333333	0.100653783	0
F90	91	LA000000900226000790196	Hatchery HV	Hatchery	HV	12:12	1	16.6	118	91_4	0	2	1	3.1	0.053658647	0
F95	41	LA000000900226000729143	Hatchery LV	Hatchery	LV	12:12	-1	12.3	109	41_1	-1	3	2	3.559333333	0.350173729	1
F57	69	LA000000900226000772253	Hatchery HV	Hatchery	HV	12:12	1	16	112	69_2	0	2	1	0.135	0.301768071	1
F58	39	LA000000900226000772374	Hatchery HV	Hatchery	HV	12:12	-1	13.5	112	39_2	0	1	2	9.75	NA	0
F59	28	LA000000900226000772551	Hatchery LV	Hatchery	LV	12:12	-1	17.6	122	28_2	0	2	2	3.9865	0.480086753	0
F69	40	LA000000900226000772510	Hatchery HV	Hatchery	HV	12:12	1	22.9	130	40_2	0	4	1	9.75	NA	0
