Batch	Fish_ID	Sample_ID	PIT	group	Sex	Photoperiod	pop	selection	subgroups	low10	q0.1	q0.2	ave_MR	Mass	Chamber.No	Temp
66	all.slopes.Batch31	57	F56	LA000000900226000789201	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	3.37990868260715	3.13862623020229	3.55844796675759	4.14397495095537	13.3	CH2	4.87842151675485
67	all.slopes.Batch32	7		LA000000900226000772244	Wild HV	NA	24	Wild	HV	Wild HV 24	2.97660273560123	3.10098858255007	3.49846098349335	3.92479366083412	12.9	CH1	5.00182116402116
68	all.slopes.Batch32	71	F129	LA000000900226000790010	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	3.11497957069042	2.46851964710376	3.25777505512807	3.951472008868	13.7	CH2	5.01312215320911
69	all.slopes.Batch4	3	F68	LA000000900226000789212	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	2.75760193311848	2.96274350262457	3.663203442945	4.07517651957831	16.4	CH1	4.24869679300292
70	all.slopes.Batch4	9	F85	LA000000900226000772352	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	2.54031606966864	2.33311825103415	2.39387076264662	3.02840978032179	12.7	CH3	4.25093557422969
71	all.slopes.Batch4	91	F90	LA000000900226000790196	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12	2.47781094838923	2.50727059187363	3.44121690912802	4.53247517728173	16.2	CH4	4.24770987654321
72	all.slopes.Batch5	29	F113	LA000000900226000772345	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	2.93474975044853	3.41421351427089	3.77169560629564	4.32789080516543	15.4	CH1	4.29360476190476
73	all.slopes.Batch5	76	F65	LA000000900226000524063	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	2.73359883049938	2.92129084275512	3.37351152508841	3.79805875813023	12.4	CH3	4.29673393801965
74	all.slopes.Batch5	92	F109	LA000000900226000790101	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	3.16111474149509	3.27428707573612	3.68589291203358	4.30817112576143	14.4	CH4	4.29304338624339
75	all.slopes.Batch6	49		LA000000900226000789961	Hatchery HV	NA	24	Hatchery	HV	Hatchery HV 24	2.45111389359105	2.38469048388255	2.70871276047023	3.50811737232359	15.8	CH1	4.37269841269841
76	all.slopes.Batch6	87	F123	LA000000900226000772299	Hatchery HV	-1	24	Hatchery	HV	Hatchery HV 24	2.4950766287419	2.04193134228425	2.13875345840851	3.2064994078223	15.3	CH3	4.37319345238095
77	all.slopes.Batch7	14	F80	LA000000900226000789939	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	2.554819232325	2.82999255986237	3.05370319529335	3.50150356507666	12.9	CH3	4.35905034013605
78	all.slopes.Batch7	31	F89	LA000000900226000790102	Wild LV	NA	12:12	Wild	LV	Wild LV 12:12	2.48235691555452	2.60943633939404	2.92205760105594	4.05240069645647	17.3	CH1	4.35969841269841
79	all.slopes.Batch8	6	F76	LA000000900226000789228	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	3.70062849909261	4.0559133694587	4.33992506811258	4.77097191327308	16.8	CH3	4.34435303776683
80	all.slopes.Batch8	8	F106	LA000000900226000789976	Hatchery HV	NA	12:12	Hatchery	HV	Hatchery HV 12:12	2.95261704863743	2.75988872043373	3.30634387931834	4.06731429629785	12.6	CH4	4.34523529411765
81	all.slopes.Batch8	84	F79	LA000000900226000790697	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	2.99030443074272	3.10592354229931	3.57983786216924	4.06660827566817	14.4	CH1	4.3458537414966
82	all.slopes.Batch9	46	F122	LA000000900226000789735	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24	2.67566471450577	2.51840142313965	2.62528078833107	3.51704603505266	15.9	CH3	4.49369047619048
83	all.slopes.Batch9	72		LA000000900226000772369	Hatchery LV	NA	24	Hatchery	LV	Hatchery LV 24	3.35836727726848	3.22095010508786	3.98658272205389	5.13440560437952	14.2	CH4	4.50813675213675
